LG SPE fit params (double gamma):  
  EXT PARAMETER                                INTERNAL      INTERNAL  
  NO.   NAME      VALUE            ERROR       STEP SIZE       VALUE   
   1  k0           1.86847e+01   3.68146e-01   2.87660e-05   4.98465e-01
   2  k1           3.30681e+00   6.62861e-02   4.23687e-06  -1.39490e+00
   3  p0           6.66996e-01   6.53548e-01   2.35217e-04   4.30681e-01
   4  p1           5.69033e-01   5.98980e-01   2.38180e-04   1.73452e-01
   5  ped_tau      2.19999e+00   1.36385e-01   5.08133e-03   1.56772e+00
   6  prompt_frac   1.16105e-01   8.74206e-02   1.36456e-04  -4.73351e-01
   7  prompt_mean   5.49920e-01   6.28595e-04   5.33124e-06  -4.11634e-01
   8  prompt_sigma   2.75831e-03   3.90799e-02   2.61166e-03  -1.43509e+00
   9  q0           3.15026e-01   6.21789e-03   8.64423e-06  -6.31764e-01
  10  q1           1.99703e+00   4.00298e-02   5.73181e-05   1.64941e-01

HG SPE fit params (double gamma):
  EXT PARAMETER                                INTERNAL      INTERNAL  
  NO.   NAME      VALUE            ERROR       STEP SIZE       VALUE   
   1  k0           2.29833e+00   5.63481e-02   1.50396e-05  -8.07562e-02
   2  k1           2.04465e+01   3.64102e-01   1.02051e-05   3.48128e-01
   3  p0           4.63388e-01   7.18833e-01   5.10316e-05  -7.32891e-02
   4  p1           5.26345e-01   6.63023e-01   5.91292e-05  -5.25919e-02
   5  ped_tau      2.87312e+00   9.30686e-02   4.07847e-04   1.98506e+00
   6  prompt_frac   7.56855e-02   9.30529e-02   2.12667e-05  -1.02054e+00
   7  prompt_mean   6.57890e-01   6.30228e-03   2.99718e-05  -9.30005e-01
   8  prompt_sigma   4.85193e-02   7.74869e-03   1.36161e-04  -2.01498e+00
   9  q0           2.81022e+01   7.01006e-01   4.56012e-05   2.67687e+00
  10  q1           3.05641e+00   5.45185e-02   5.07696e-06  -4.97647e-01


